card_code,name,faction_code,xp,main_decks_including_once,main_deck_occurances,side_decks_including_once,side_deck_occurances
04006,Mitch Brown,neutral,0,209,209,0,0
09108,Shed a Light,survivor,0,87,172,19,36
01592,Manual Dexterity,neutral,0,114,207,1,1
03272,"""Not without a fight!""",survivor,0,118,205,2,3
07018,Blessed Blade,guardian,0,109,204,2,2
05112,Sign Magick,mystic,0,125,196,7,10
09064,Thieves' Kit,rogue,0,106,187,10,18
06332,Scavenging (2),survivor,2,73,120,51,85
01027,Police Badge (2),guardian,2,101,146,38,57
03013,Stars of Hyades,neutral,0,202,202,0,0
02268,Fearless (2),mystic,2,61,99,55,103
60424,Guts (2),mystic,2,42,77,66,124
10116,Long Shot,survivor,0,96,186,9,15
60105,Boxing Gloves,guardian,0,109,199,1,2
04027,Eavesdrop,rogue,0,114,200,1,1
06162,Gregory Gry,rogue,0,114,183,11,18
05030,Cunning,rogue,0,105,194,3,5
06196,Safeguard (2),guardian,2,54,76,83,122
02106,Brother Xavier (1),guardian,1,87,149,32,49
05233,Investments,rogue,0,123,191,4,6
01525,Vicious Blow,guardian,0,103,194,2,3
05280,Deny Existence (5),mystic,5,41,67,76,129
08100,Eon Chart (4),seeker,4,32,48,91,148
60310,Leather Jacket,rogue,0,118,188,6,8
04026,Decorated Skull,rogue,0,123,193,3,3
07027,Obfuscation,rogue,0,113,183,8,12
04011,Finn's Trusty .38,neutral,0,193,193,2,2
04010,Smuggled Goods,neutral,0,193,193,1,1
09079,Living Ink,mystic,0,94,176,11,18
04012,Caught Red-Handed,neutral,0,193,193,0,0
07271,Favor of the Moon (1),neutral,1,84,144,31,49
01071,Grotesque Statue (4),mystic,4,94,138,35,55
06164,Ethereal Form,mystic,0,115,180,9,12
08094,Sledgehammer,guardian,0,106,183,5,8
04151,Well Prepared (2),guardian,2,81,133,41,58
03010,Analytical Mind,neutral,0,191,191,0,0
03011,The King in Yellow,neutral,0,191,191,0,0
09088,String of Curses,mystic,0,96,182,5,8
08097,Pocket Telescope,seeker,0,128,177,7,12
04269,Coup de Grâce,rogue,0,106,175,8,14
01539,Deduction,seeker,0,99,185,2,3
04008,Jake Williams,neutral,0,188,188,0,0
04009,Call of the Unknown,neutral,0,188,188,0,0
08123,Crafty (3),seeker,3,50,77,68,111
03273,True Survivor (3),survivor,3,70,113,45,75
03038,Hiding Spot,survivor,0,117,185,1,2
05234,Decoy,rogue,0,103,183,3,4
08074,Jury-Rig,survivor,0,105,178,3,6
04024,Unearth the Ancients,seeker,0,101,178,4,6
07025,.25 Automatic,rogue,0,98,170,8,14
02034,Bait and Switch,survivor,0,109,180,2,4
09021,Hunter's Armor,guardian,0,83,157,15,26
05324,Eucatastrophe (3),survivor,3,54,93,51,90
10069,Bank Job,rogue,0,101,165,10,17
60223,Whitton Greene (2),seeker,2,58,100,52,82
07017,Book of Psalms,guardian,0,102,175,6,7
02115,Flare (1),survivor,1,82,135,27,46
05023,Ace of Swords (1),guardian,1,108,121,45,60
08129,Call for Backup (2),neutral,2,50,85,57,96
01580,Lucky!,survivor,0,93,178,1,2
05011,Family Inheritance,neutral,0,179,179,0,0
05012,"Lodge ""Debts""",neutral,0,179,179,0,0
09122,Flashlight (3),neutral,3,41,76,55,103
06199,Three Aces (1),rogue,1,44,132,16,46
60311,Streetwise,rogue,0,111,163,10,15
60410,Familiar Spirit,mystic,0,97,170,4,6
08101,Divination (1),seeker,1,50,81,55,95
60524,"""Look what I found!"" (2)",survivor,2,41,79,51,96
08032,Jeremiah Kirby,seeker,0,94,148,21,27
04276,Timeworn Brand (5),neutral,5,74,109,43,66
07117,Armageddon,mystic,0,97,168,4,7
06281,Delilah O'Rourke (3),rogue,3,65,98,47,76
03238,A Chance Encounter (2),survivor,2,74,125,31,49
05152,Well-Maintained (1),guardian,1,78,131,26,43
04312,Impromptu Barrier,survivor,0,101,167,5,7
01055,Cat Burglar (1),rogue,1,86,131,27,43
05322,Sixth Sense (4),mystic,4,62,99,43,74
08050,Cheat the System (1),rogue,1,63,109,37,64
08093,Cyclopean Hammer (5),guardian,5,45,74,54,98
05010,Unsolved Case,neutral,0,170,170,1,1
04156,High Roller (2),rogue,2,85,134,23,37
05009,Detective's Colt 1911s,neutral,0,170,170,0,0
07220,Holy Rosary (2),guardian,2,41,67,61,103
05160,Belly of the Beast,survivor,0,91,163,4,7
60509,Mysterious Raven,survivor,0,82,149,16,20
53002,Survival Knife (2),guardian,2,61,102,37,67
08062,Close the Circle (1),mystic,1,67,127,26,42
01530,Magnifying Glass,seeker,0,94,163,3,5
60406,Scrying Mirror,mystic,0,98,160,6,8
07020,Hand of Fate,guardian,0,92,162,2,4
09081,Power Word,mystic,0,64,143,16,23
01097,Paranoia,neutral,0,162,165,0,0
07229,Spirit of Humanity (2),survivor,2,58,98,43,66
02306,Shrivelling (5),mystic,5,54,88,44,76
